client	SOLD	CHEQ	NDEC	TAIL	MDEC	NBPR	NEMP	AGEC	MEMP	VADD	DEPO	activite	RETR	VARR
1	2305	253	7	1	2.3	0	1	22	8.5	-2	3.1	fonctionnaire	0.7	3
2	15259	1024	0	3	0	3	1	45	25	9	500	commercant	0	0
3	1236	156	10	1	5.4	1	0	19	0	3	6	fonctionnaire	2	1
4	8241	455	1	2	0.1	6	4	62	210	4	32	commercant	36	3
5	6210	1022	2	2	0.3	5	3	36	113	3	150	prof liberale	80.5	2
6	6871	321	1	2	3	6	4	31	200	3	125	prof liberale	98	3
7	1580	150	9	1	6.1	2	1	25	8	2	6.5	employe	5.5	1
8	9630	562	1	1	4	5	3	28	111	4	225.2	prof liberale	110.5	2
9	4230	63	3	1	2.7	2	0	24	0	1	5.1	fonctionnaire	20	-3
10	3620	84	5	2	9.8	1	1	36	81	-3	7.2	fonctionnaire	3.1	8
11	10258	1255	0	3	0	6	4	46	310	5	251.7	commercant	253.7	3
12	23698	52	1	5	2.9	2	0	47	0	12	523.2	commercant	2	1
13	3698	854	0	4	0	1	1	44	5	-2	1.5	employe	3.2	1
14	231	68	12	2	8.9	1	0	29	0	-1	0.5	employe	0.1	0
15	501	255	0	2	0	1	1	64	5	-3	10.2	employe	10.1	1
16	3693	24	0	2	0	2	0	78	0	2	1.2	fonctionnaire	21.5	2
17	963	92	1	1	0.9	1	0	24	0	-1	105.1	employe	5.1	-1
18	15802	1122	0	1	0	2	0	51	0	10	610.6	prof liberale	0.1	-1
19	502	751	6	1	3	2	2	18	8.5	1	61.2	fonctionnaire	0.8	6
20	7896	1236	1	3	6	6	3	35	250.7	3	187.5	prof liberale	98.1	3
21	23698	969	0	3	0	3	0	49	0	12	916.2	prof liberale	8.1	-1
22	27896	425	1	3	2.3	3	0	55	0	15	523.2	commercant	0	0
23	5687	363	1	2	3.6	5	3	67	155	3	261	commercant	110	2
24	1269	451	0	1	0	1	2	22	15	-1	51.3	employe	5.1	3
25	3687	152	3	2	0.6	2	1	27	25	-2	0.1	employe	52	-3
26	9631	147	0	2	0	2	0	30	0	9	655.7	prof liberale	0	0
27	75632	954	0	2	0	3	0	38	0	13	889.3	commercant	0	0
28	5523	136	1	3	1.2	5	4	42	110.1	5	110.2	commercant	110.5	2
29	6984	254	2	1	0.3	4	3	64	125.1	3	130.5	commercant	85.1	3
30	85214	2360	0	4	0	3	0	53	0	9	632.7	commercant	1	-1
31	4235	258	1	5	0.4	4	1	55	30	-2	32.7	commercant	13.6	1
32	3691	1025	2	5	2	3	0	40	0	1	52	prof liberale	0.1	3
33	4563	655	3	4	0.2	4	0	37	0	-2	12	prof liberale	10.8	7
34	2587	489	0	3	0	3	0	29	39.1	4	65.7	employe	45.1	-1
35	3654	257	4	1	0.4	1	8	26	25.6	-2	0.5	fonctionnaire	42.5	-1
36	547	98	0	2	0	2	2	23	25	6	72.5	fonctionnaire	0.1	7
37	5821	1025	0	2	0	5	3	49	110	4	114.9	prof liberale	135.2	4
38	12587	587	0	3	0	3	0	46	0	8	451.6	prof liberale	5	1
39	6981	163	1	3	3	4	3	57	98	3	92.3	commercant	85.2	2
40	25871	129	0	3	0	3	0	38	0	11	754.1	commercant	0.1	0
41	15236	254	0	4	0	6	3	40	221	3	123.1	commercant	97	2
42	12369	128	0	4	0	3	0	39	0	9	651.3	fonctionnaire	0	0
43	4563	962	8	3	5.6	3	0	26	0	-1	23.1	fonctionnaire	9.2	2
44	12258	2301	0	4	0	3	1	41	15	8	591	commercant	10	1
45	7529	587	0	3	0	5	2	29	200	3	117	commercant	81	5
46	6987	1027	1	4	0.4	6	30	51	158	4	165	commercant	80.1	-1
47	9632	238	1	5	0.8	4	2	53	151	3	127	commercant	77	2
48	3654	1456	0	8	0	2	5	45	65	-1	65	fonctionnaire	6	2
49	25412	698	0	9	0	2	0	41	0	12	658	commercant	0	-1
50	3654	150	1	1	0.9	0	0	20	0	-2	7	employe	42	9
